"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"HEBP2",855.872161666473,-1.70045275420515,0.0999163865972976,-17.0187575042985,5.96224328029939e-65,3.30452816959624e-63,"Signifikan","Turun"
"C6orf89",4653.16349455164,0.960286142081895,0.0564837084258175,17.0011171157977,8.05697936902876e-65,4.45053481186518e-63,"Tidak Signfikan","Tidak Signifikan"
"XAF1",296.151872219706,-4.11962166513202,0.242336977123975,-16.9995586889924,8.27404533408778e-65,4.55515251653575e-63,"Signifikan","Turun"
"TRMT1",779.851023416524,-1.84163569135164,0.108650453155985,-16.9500967355164,1.92137399658604e-64,1.05425791192676e-62,"Signifikan","Turun"
"TTC3",6887.14170113089,0.909144478939208,0.0536377122046172,16.949725138742,1.93355612392727e-64,1.05741752013179e-62,"Tidak Signfikan","Tidak Signifikan"
"TCERG1",3203.13377173899,-1.1126826803176,0.0656824396058168,-16.9403372803323,2.26820469981849e-64,1.23632177363286e-62,"Signifikan","Turun"
"C1orf63",1561.99722681533,1.27948147844864,0.0755658586618937,16.9320047585704,2.61325945213144e-64,1.41969847661834e-62,"Signifikan","Naik"
"IGF2BP1",1834.61204699457,-1.26247802811217,0.0746049398897544,-16.9221774051124,3.08799918283908e-64,1.67209061015507e-62,"Signifikan","Turun"
"AGPAT3",507.854158166528,-2.25586062589116,0.133572950737223,-16.8886036689351,5.45794752098172e-64,2.94568111943869e-62,"Signifikan","Turun"
"WIPF1",673.254754982113,-1.90001584752113,0.112621928344469,-16.8707451155487,7.38587997293684e-64,3.9731689619122e-62,"Signifikan","Turun"
"QTRT1",560.525595573661,-2.17227236852187,0.128783816553862,-16.8675880762809,7.79133752441528e-64,4.17762889216287e-62,"Signifikan","Turun"
"MSI2",3363.44263772665,-0.993991958892239,0.0589869709311286,-16.8510425811285,1.03081295623781e-63,5.50915976384108e-62,"Tidak Signfikan","Tidak Signifikan"
"TYRO3",293.352234281359,-3.87139213714884,0.229836692984309,-16.844099551211,1.15920011762873e-63,6.17527285963965e-62,"Signifikan","Turun"
"EFEMP1",662.688350754208,-1.99575055542189,0.118651239018141,-16.8203094374494,1.73251452677561e-63,9.19965213717851e-62,"Signifikan","Turun"
"UFC1",968.077269797395,-1.68955999298425,0.10053069679902,-16.8064088560135,2.19045725597108e-63,1.15939282606238e-61,"Signifikan","Turun"
"IL9R",341.976146239952,-2.80186854810424,0.166882361138848,-16.7894828967159,2.91372480730341e-63,1.53727000169941e-61,"Signifikan","Turun"
"ZYG11B",1488.78160016358,1.29152072623648,0.0769327011897857,16.7876690440184,3.00414065839591e-63,1.57990924529888e-61,"Signifikan","Naik"
"MED24",1430.0857438049,-1.34456168057826,0.0802015745717532,-16.7647790926516,4.4165259802333e-63,2.31530045097517e-61,"Signifikan","Turun"
"SLC9A3",354.01238731428,2.42104859873068,0.144797257440733,16.7202655735496,9.33025242270195e-63,4.87572333746339e-61,"Signifikan","Naik"
"TIMP2",1169.91351356108,-1.45067307193087,0.0868320184241905,-16.706660725587,1.17218482645845e-62,6.10611848997865e-61,"Signifikan","Turun"
"LZTS3",389.727110164938,2.36082652009124,0.141331988040256,16.7041202266171,1.22318781440248e-62,6.35170177062437e-61,"Signifikan","Naik"
