"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"VEGFA",1791.39445564919,0.797643385878831,0.0772365171941814,10.327283192657,5.30416138683915e-25,1.07778952058939e-22,"Tidak Signfikan","Tidak Signifikan"
"FAM83H",781.310056867875,-1.00110590746676,0.0977440717022208,-10.242113818592,1.2839990715784e-24,2.57010620133403e-22,"Signifikan","Turun"
"HSP90AB1",38711.7460494809,0.480268032721716,0.0469605498471373,10.2270530111988,1.50015027903304e-24,2.95860520472237e-22,"Tidak Signfikan","Tidak Signifikan"
"STARD7",4597.6114428577,-0.57141977154186,0.0559187531955534,-10.2187502204055,1.63434355864513e-24,3.17654803840433e-22,"Tidak Signfikan","Tidak Signifikan"
"ACSL4",2759.06253314459,0.615305618111496,0.060859430140445,10.11027570734,4.97440893767387e-24,9.53025689473489e-22,"Tidak Signfikan","Tidak Signifikan"
"ACBD3",1665.01496456015,0.734944294731118,0.0730683509002599,10.0583123291551,8.44332983854756e-24,1.59483797837692e-21,"Tidak Signfikan","Tidak Signifikan"
"C17orf62",2756.82319056661,-0.62886778347889,0.0625861833372068,-10.0480289729544,9.37232019657739e-24,1.74572480772638e-21,"Tidak Signfikan","Tidak Signifikan"
"POLDIP3",3848.16383165865,0.595441329865106,0.0593428230584683,10.0339232139064,1.08132746763847e-23,1.9865318723972e-21,"Tidak Signfikan","Tidak Signifikan"
"NEU1",892.52752642988,0.956418575702462,0.0958203865359764,9.98136837345536,1.8391272592184e-23,3.33304536126729e-21,"Tidak Signfikan","Tidak Signifikan"
"NT5DC2",2058.98134279374,-0.698754535064491,0.0701733972684774,-9.957541778847,2.33771377101516e-23,4.18014391774457e-21,"Tidak Signfikan","Tidak Signifikan"
"GAB2",456.480366626983,1.19044148258145,0.120098775880478,9.91218664681625,3.68491560998896e-23,6.5024214796792e-21,"Signifikan","Naik"
"ERN1",961.705453553941,0.901921488104109,0.0914430269646298,9.86320682989827,6.00986515086318e-23,1.04673118880813e-20,"Tidak Signfikan","Tidak Signifikan"
"ARRDC3",847.693750157982,1.07188055492543,0.109097024098794,9.82502101940727,8.78557014611347e-23,1.51055488755805e-20,"Signifikan","Naik"
"RAB33A",1097.24546772147,0.831170289146568,0.0847204684217681,9.81073764853035,1.01225856898875e-22,1.71840502135546e-20,"Tidak Signfikan","Tidak Signifikan"
"MT2A",774.172681699405,1.00297490058895,0.102563508746363,9.77906189880143,1.3848815207063e-22,2.32158075927402e-20,"Signifikan","Naik"
"HLA-E",1941.54933565484,0.679321106265577,0.0697460852140596,9.73991736139246,2.03719958254312e-22,3.37294859277602e-20,"Tidak Signfikan","Tidak Signifikan"
"MT-ND3",9099.9335169483,-0.569744515950577,0.0587181363380961,-9.70304153847827,2.92642216228445e-22,4.78612775834106e-20,"Tidak Signfikan","Tidak Signifikan"
"NUP153",3621.24206339593,0.56552336852022,0.0584403256519385,9.67693732386759,3.77866029906056e-22,6.10549557478327e-20,"Tidak Signfikan","Tidak Signifikan"
"SOX4",15173.1267688285,0.532890502996252,0.0551009310911292,9.67117056724368,3.99778893242758e-22,6.38266040152217e-20,"Tidak Signfikan","Tidak Signifikan"
