"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"ENSMUSG00000031490",3619.17232911849,1.90403929299729,0.143017780059777,13.3133047667323,1.93719699244909e-40,1.2262602616112e-38,"Signifikan","Naik"
"ENSMUSG00000022951",6764.23840543068,1.62084293608968,0.121817301496596,13.3055232399395,2.14982809230231e-40,1.3557605025538e-38,"Signifikan","Naik"
"ENSMUSG00000062960",66775.0258229171,-1.19306257580553,0.0896919619184836,-13.3017781112854,2.26028335044031e-40,1.42009891995201e-38,"Signifikan","Turun"
"ENSMUSG00000042286",58589.1487325277,-1.30268555552602,0.0981175213963107,-13.2767882533873,3.15644759304109e-40,1.97577191716081e-38,"Signifikan","Turun"
"ENSMUSG00000028613",3299.61590808552,1.39154680030893,0.105068218604633,13.2442218854519,4.87306170052404e-40,3.03898566346014e-38,"Signifikan","Naik"
"ENSMUSG00000051515",3421.46644326991,-1.30666930940928,0.0987662195167345,-13.2299212808068,5.89490786481024e-40,3.6626737500987e-38,"Signifikan","Turun"
"ENSMUSG00000047821",2411.42135181661,1.4657942594745,0.110971343997106,13.2087636922982,7.8096566604684e-40,4.83452201650613e-38,"Signifikan","Naik"
"ENSMUSG00000020154",32777.7731097485,-1.31838816140445,0.099952821656993,-13.1901044867823,1.00046482597075e-39,6.17063250538298e-38,"Signifikan","Turun"
"ENSMUSG00000022757",5257.25105374426,1.44658872882864,0.109739850766682,13.181981921082,1.11424642825698e-39,6.84732896313543e-38,"Signifikan","Naik"
"ENSMUSG00000038046",2713.68896900628,-1.29035482990663,0.0980684147639278,-13.1577004993178,1.53692526434962e-39,9.41045367313416e-38,"Signifikan","Turun"
"ENSMUSG00000032553",5203.12826986136,1.23015179772948,0.0935243023143787,13.1532849461349,1.62938800756954e-39,9.94044756212171e-38,"Signifikan","Naik"
"ENSMUSG00000029467",64678.5859668728,1.5949888759984,0.12143389730869,13.134626421022,2.08517939189828e-39,1.26751807223044e-37,"Signifikan","Naik"
"ENSMUSG00000020377",3530.22813519192,-1.55522097325844,0.11847014708091,-13.1275347552012,2.28990447639617e-39,1.38695725084744e-37,"Signifikan","Turun"
"ENSMUSG00000028266",1508.33637696445,1.85215114304319,0.141120797863613,13.1245795877176,2.38100435720153e-39,1.43696599880141e-37,"Signifikan","Naik"
"ENSMUSG00000046916",5642.38053620896,-1.31216802466607,0.100176816620288,-13.0985198864896,3.35741229566943e-39,2.01900386551721e-37,"Signifikan","Turun"
"ENSMUSG00000063851",405.170924560589,1.98173969709798,0.151621589740917,13.0703002157165,4.86730561535893e-39,2.90623021104304e-37,"Signifikan","Naik"
"ENSMUSG00000061414",236.592258770256,-2.23342438340225,0.170874473164492,-13.0705560757004,4.85096168070812e-39,2.90623021104304e-37,"Signifikan","Turun"
"ENSMUSG00000037966",4532.05840785848,1.44701587857844,0.111023182571483,13.0334570227868,7.89479770642304e-39,4.69726515126329e-37,"Signifikan","Naik"
"ENSMUSG00000031168",1935.39622390593,1.40611757819647,0.107945468379335,13.0261844179988,8.68429760787587e-39,5.14880996906387e-37,"Signifikan","Naik"
"ENSMUSG00000007655",11056.8952269956,-1.56135196956287,0.120119168811379,-12.998358088996,1.24998192934158e-38,7.38498095658016e-37,"Signifikan","Turun"
"ENSMUSG00000030187",175.672326169413,2.64270460674252,0.203384627055393,12.9936300742276,1.32967422202217e-38,7.82834075189138e-37,"Signifikan","Naik"
"ENSMUSG00000048482",282.973401924421,2.16320042993461,0.167153036066185,12.9414366669241,2.6267100848906e-38,1.54106426513547e-36,"Signifikan","Naik"
"ENSMUSG00000000915",12005.8276468758,-1.28338000778634,0.0991912090992099,-12.9384450440837,2.73101156702174e-38,1.5966934988025e-36,"Signifikan","Turun"
"ENSMUSG00000045312",3604.76894575485,1.59430960510965,0.12349024240682,12.910409551691,3.93204136073725e-38,2.29092430560878e-36,"Signifikan","Naik"
"ENSMUSG00000030688",505.688582066715,-1.79523477347286,0.139205516024572,-12.8962904972528,4.7229012059969e-38,2.74221415539917e-36,"Signifikan","Turun"
"ENSMUSG00000035314",2652.59648113744,-1.38498745948856,0.107514004986959,-12.8819260305349,5.68977028313341e-38,3.29224577413747e-36,"Signifikan","Turun"
"ENSMUSG00000024140",14806.166777441,-1.11241772986038,0.0863812620961349,-12.877998108228,5.98683420427854e-38,3.45227103875486e-36,"Signifikan","Turun"
"ENSMUSG00000037447",1194.56072959031,2.44771919700499,0.190157577376874,12.8720571158405,6.46568672680339e-38,3.71567348484353e-36,"Signifikan","Naik"
"ENSMUSG00000040511",4522.88714875924,1.45481272416889,0.113141068366921,12.8583965589832,7.71606680026637e-38,4.41915417628861e-36,"Signifikan","Naik"
"ENSMUSG00000027737",19410.8200079793,1.67822863991508,0.130590474660446,12.8510800215614,8.48177214542392e-38,4.84122302998806e-36,"Signifikan","Naik"
"ENSMUSG00000030785",233.456188066624,7.89248214285455,0.614347204476978,12.8469407614116,8.94793841406923e-38,5.09004685865195e-36,"Signifikan","Naik"
